MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,Label
-306.0274,92.670235,8.491312,23.965403,7.4779925,-5.759456,-11.883088,-9.676736,-3.9967465,-13.352565,0.40819734,-9.709486,-6.1271243,0
-346.39963,95.83912,10.516282,31.619215,15.872088,-6.845447,-6.629935,-4.978728,-5.3106537,-10.283518,-2.5343666,-7.2553897,-6.1539063,0
-321.42026,94.76091,8.155397,23.32324,11.719156,-7.116331,-8.534803,-4.9969654,-4.9943995,-13.70651,-3.3574135,-8.454173,-6.5619407,0
-303.30374,92.52889,4.2312317,27.970133,10.869824,-11.878345,-10.095113,-7.1497307,-7.6517596,-17.085901,-0.2010248,-8.867324,-9.357766,0
-335.4959,100.39331,9.384935,30.160904,11.466775,-3.33367,-8.350987,-9.757345,-6.079327,-12.109531,1.5376804,-9.795645,-3.4720597,0
-365.1856,97.09256,15.7373495,34.221027,18.323439,-4.5814185,-6.389639,-4.8850236,-4.770392,-10.993266,-1.7111346,-8.973212,-5.371084,0
-270.18033,92.644684,4.134922,10.847631,-8.362823,0.58437574,-7.6005073,-11.471554,-4.967712,-15.289151,6.5688634,-13.339166,-6.8789277,0
-360.06622,109.193436,12.335657,22.731333,6.9428005,1.8647586,-4.8600945,-5.7404647,-3.9267454,-12.500737,2.2256699,-8.597423,-7.1583047,0
-333.4997,107.173935,10.298349,18.224262,0.7590177,2.7953928,-5.992716,-13.538232,-3.9273965,-11.00377,6.0223436,-13.519105,-6.353114,0
-314.37982,94.22847,3.8098674,21.98912,-0.46367428,-0.9600562,-8.169247,-8.779709,-1.5632709,-11.453568,2.1685424,-9.735218,-4.7711234,0
-402.623,106.913124,19.912289,18.792429,11.055608,5.017659,4.765215,-4.2692766,-8.404424,-8.153691,-0.4702321,-10.569259,-6.0254474,0
-359.12918,103.51354,16.054075,15.792935,7.0348787,3.865424,-2.5784388,-10.458014,-5.15721,-9.219245,2.8337538,-11.023622,-3.25227,0
-282.05005,93.42165,1.922417,12.549128,-1.2334514,-1.3849385,-6.2866783,-9.17527,-8.277507,-14.062583,3.5188053,-9.4317875,-2.4112096,0
-342.23886,100.36797,18.701796,17.385332,3.6311378,3.8040402,-2.5764058,-10.176669,-8.347964,-11.221913,6.396547,-7.575192,-4.1471267,0
-319.06622,98.451,11.072928,16.455578,-0.022969825,-0.1972489,-2.4655933,-8.625198,-7.4831033,-12.563644,3.474398,-9.617585,-6.099115,0
-236.65141,82.38599,-10.377084,5.5696535,-6.288114,-4.608174,-9.109256,-12.822047,-8.758862,-12.880166,4.710361,-10.659064,-7.208701,0
-348.8115,102.54649,14.106908,22.103922,3.3461146,6.19701,-4.945971,-10.076104,-6.466467,-11.836278,5.065985,-11.534022,-4.294049,0
-334.71375,99.00494,11.194512,18.256765,3.4368079,2.0946302,-5.7033114,-11.281712,-7.7738934,-10.699697,3.9705243,-9.426505,-5.3909883,0
-359.30594,100.23791,19.421566,21.467922,8.302713,3.223154,-1.99348,-9.003595,-6.835287,-8.121011,3.1189234,-12.005446,-1.6075194,0
-373.71213,109.28758,19.553308,20.777966,12.320393,-2.2856553,-5.0244226,-7.9776473,-6.4676642,-8.772101,1.0034086,-8.658758,-6.8289175,0
-378.1008,110.461624,23.81586,18.992573,9.773391,2.2459502,-5.245445,-7.085546,-7.4474893,-10.385158,1.9413579,-8.05431,-4.2928486,0
-365.13474,112.83181,17.274847,20.055117,9.2249365,-3.3070295,-6.011869,-9.456339,-6.410625,-11.04857,2.8213427,-5.047011,-5.594614,0
-330.0622,99.34409,6.539262,34.687218,7.7527094,-4.5078535,-4.416453,-10.334471,-5.7837877,-13.824582,-0.4284648,-10.580196,-7.8492193,0
-375.4412,105.68006,16.526451,31.41728,13.154472,-6.7531524,0.34420216,-5.600592,-11.284393,-10.907325,0.2878124,-10.996979,-5.7988143,0
-287.60413,96.18132,3.446207,37.56961,6.045675,-8.070045,-5.9690666,-10.294985,-7.760944,-16.250912,0.993599,-8.768344,-9.9822235,0
-320.92862,99.34251,13.585085,30.108082,2.2452428,-6.4938197,-0.57423824,-11.182261,-10.092663,-13.674298,-1.0076168,-11.865167,-9.350988,0
